f_of_S,Queries,Time,Adaptivity,QueriesPerRound,k,n,nproc,trial
7593,100062,4.526578903198242,4,0.0,10,100000,75,1
7713,100061,4.515541076660156,4,0.0,10,100000,75,2
7840,100062,4.511253118515015,4,0.0,10,100000,75,3
7709,100056,4.500169992446899,4,0.0,10,100000,75,4
7621,100059,4.5315539836883545,4,0.0,10,100000,75,5
12090,100045,4.519747018814087,4,0.0,20,100000,75,1
11895,100734,4.725345849990845,5,0.0,20,100000,75,2
12057,100049,4.535765886306763,4,0.0,20,100000,75,3
12111,100049,4.5175628662109375,4,0.0,20,100000,75,4
11876,101571,4.838604927062988,7,0.0,20,100000,75,5
16859,100339,4.734245777130127,6,0.0,40,100000,75,1
16831,100270,4.709600925445557,5,0.0,40,100000,75,2
16699,100270,4.71661901473999,5,0.0,40,100000,75,3
16620,100282,4.720412969589233,5,0.0,40,100000,75,4
16764,100275,4.713234901428223,5,0.0,40,100000,75,5
24009,100315,4.739584922790527,6,0.0,80,100000,75,1
24018,100334,4.752303123474121,7,0.0,80,100000,75,2
24025,100331,4.762414932250977,7,0.0,80,100000,75,3
24000,101133,5.047637939453125,8,0.0,80,100000,75,4
24025,100323,4.758360862731934,7,0.0,80,100000,75,5
32377,101597,5.57384991645813,13,0.0,160,100000,75,1
32366,101858,5.648277044296265,15,0.0,160,100000,75,2
32381,101603,5.575856924057007,13,0.0,160,100000,75,3
32372,101611,5.590428113937378,13,0.0,160,100000,75,4
32381,101573,5.6013100147247314,13,0.0,160,100000,75,5
35906,103367,16.525617122650146,24,283.7142857142857,320,100000,75,1
36354,103727,16.64691996574402,26,291.22222222222223,320,100000,75,2
35180,103441,16.63619899749756,24,292.42857142857144,320,100000,75,3
35633,103673,16.70376992225647,26,285.22222222222223,320,100000,75,4
36155,118246,25.063493013381958,37,724.2,320,100000,75,5
53116,454539,118.10976004600525,41,2041.3333333333333,640,100000,75,1
53050,455130,116.68243908882141,43,1927.6285714285714,640,100000,75,2
53053,482994,128.16615200042725,44,3186.8888888888887,640,100000,75,3
53042,454988,117.68982481956482,41,2043.2424242424242,640,100000,75,4
53085,455295,118.32096695899963,43,1924.2857142857142,640,100000,75,5
67045,446878,153.44432020187378,57,430.03921568627453,1280,100000,75,1
67090,447437,154.7744209766388,57,426.5098039215686,1280,100000,75,2
67129,448367,154.0322070121765,57,428.96078431372547,1280,100000,75,3
67063,447543,152.82622909545898,58,419.28846153846155,1280,100000,75,4
67050,447163,153.35948991775513,57,428.3137254901961,1280,100000,75,5
80976,1071423,635.4933068752289,136,244.484375,2560,100000,75,1
80985,1082529,643.9835050106049,132,250.45967741935485,2560,100000,75,2
80971,1029713,595.7279651165009,129,259.5123966942149,2560,100000,75,3
80980,1072371,631.6130151748657,129,258.6363636363636,2560,100000,75,4
80979,1057861,626.4495859146118,134,248.92857142857142,2560,100000,75,5
79544,753666,389.2129120826721,89,756.4166666666666,5120,100000,75,1
79600,747586,389.3243610858917,85,797.25,5120,100000,75,2
79491,752738,390.60687589645386,90,751.964705882353,5120,100000,75,3
79614,749137,389.58387994766235,88,765.1686746987951,5120,100000,75,4
79637,763748,390.09734296798706,91,741.2209302325581,5120,100000,75,5
98545,2051981,1828.471619129181,116,1399.918181818182,10000,100000,75,1
98582,2052658,1830.108566045761,116,1388.6818181818182,10000,100000,75,2
98597,2044587,1828.1064999103546,119,1352.8761061946902,10000,100000,75,3
98598,2050838,1826.4188311100006,112,1445.801886792453,10000,100000,75,4
98580,2057430,1834.6779508590698,113,1429.6635514018692,10000,100000,75,5
